nama orang,geb/overl.,id,actual id,Unnamed: 4,origin,birthYear,deathYear
"Scherrer, J.E.E., zdl",1889-1964,1223,,,Switzerland,1889,1964
"Scheurer, Jan Gerrit, arts",1864-1928,1224,,,Netherlands,1864,1928
"Schildmann, Ewald, zdl",1910-1989,1225,,,Germany,1910,1989
"Schilstra, Sybren, zdl",1840-1909,1226,,,Netherlands,1840,1909
"Schlipköter, Emil, zdl",1879-1965,1227,,,Germany,1879,1965
"Schlipköter, zr. F.",1872-1920,1228,,,Germany,1872,1920
"Schmid, Fr.",1892-1950,1229,,,Switzerland,1892,1950
"Schmiedeskamp, mw. A., ond.",1893-1959,1230,,,Germany,1893,1959
"Schmidt, Friedrich",1868-1936,1231,,,Germany,1868,1936
"Schmidt, Isaac Chester",1887-1978,1232,,,United States of America,1887,1978
"Schmidt, Johannes C.A., zwm",1831-,1233,,,Germany,1831,
"Schmidt, R., zdl",1909-1960,1234,,,Germany,1909,1960
"Schmidt, Wilhelm, zdl",1871-1941,1235,,,Germany,1871,1941
"Schmitt, Hermann, zdl",1898-1942,1236,,,Germany,1898,1942
"Schmitt, Lydia",1897-1965,1237,,,Germany,1897,1965
"Schmitz, Johann Gerhard",1880-±1940,1238,,,Netherlands,1880,±1940
"Schnatbaum, Wilhelm, zdl",1887-1961,1239,,,Germany,1887,1961
"Schneider, Alfred",1905-1992,1240,,,Germany,1905,1992
"Schneider, Friedrich G., zdl",1880-1965,1241,,,Germany,1880,1965
"Schneider, G.J., zdl",1890-1942,1242,,,Germany,1890,1942
"Schneider, Robert, zdl",1884-1961,1243,,,Germany,1884,1961
"Schniepp, zr. Lydia E.",,1244,,,Germany,,
"Schoch, M.L.W., diakones",1876-1962,1245,,,Netherlands,1876,1962
"Schoepe, Walter, ond.",1903-,1246,,,Germany,1903,
"Scholten, G.H. zdl",1884-1926,1247,,,Netherlands,1884,1926
"Scholten, G.J. arts  (zv H.H. Sch.)",±1910-1939,1248,,,Netherlands,±1910,1939
"Scholten, Hindrik Henderikus",1881-1944,1249,,,Netherlands,1881,1944
"Schot, C.G., zdl",1827-1874,1250,,,Netherlands,1827,1874
"Schrey, Johannes, zdl",1852-1927,1251,,,Germany,1852,1927
"Schreiber, August W., zdl",1839-1903,1252,,,Germany,1839,1903
"Schreiber, Chr., zdl",1886-1965,1253,,,Germany,1886,1965
"Schreiber, Fr. Carl, zdl",1886-1963,1254,,,Germany,1886,1963
"Schreiber, Frieda",1877-1951,1255,,,Germany,1877,1951
"Schreiber, Dr. Werner J., zdl",1872-1941,1256,,,Germany,1872,1941
"Schreuder, mw. Ch.H., arts",1911-1966,1257,,,Netherlands,1911,1966
"Schröder, C.J.M.L. , zwm",1830-1885,1258,,,Germany,1830,1885
"Schröder, G.F., zdl",1868-1927,1259,,,Netherlands,1868,1927
"Schröder, zr. L.",,1260,,,Netherlands,,
"Schröder, Willem Frederik, zdl",1889-1969,1261,,,Netherlands,1889,1969
"Schrok, Herman Corn., arts",1907-1969,1262,,,Netherlands,1907,1969
"Schuh, B., zdl (Fr.)",1823/4-'62+,1263,,,,1823/4,'62+
"Schuijt, Pieter, zdl",1884-1980,1264,,,Netherlands,1884,1980
"Schulz, Rudolf U.W., zdl",1893-1984,1265,,,Germany,1893,1984
"Schumann, Rudolf, zdl",1882-1948,1266,,,Germany,1882,1948
"Schuringa, zr. M.",1892-1986,1267,,,Netherlands,1892,1986
"Schuringa, zr. S.J.",1900-1983,1268,,,Netherlands,1900,1983
"Schut, J.A.F., zdl",1871-1931,1269,,,Netherlands,1871,1931
"Schütz, Philipp Chr., zdl",1838-1922,1270,,,Germany,1838,1922
"Schuurman, dr. B.M., zdl",1889-1945,1271,,,Netherlands,1889,1945
"Schuurman, zr. M.",1892-1977,1272,,,Netherlands,1892,1977
"Schuurmans, J., zdl",1896-1963,1273,,,Netherlands,1896,1963
"Schuurmans, Nic. Dirk, zdl.",1838-1908,1274,,,Netherlands,1838,1908
"Schwab, Ms. Elsie",,1275,,,United States of America,,
"Schwartz, Alfred, zdl",1905-1942,1276,,,Germany,1905,1942
"Schwarz, G., zdl",1892-1933,1277,,,Germany,1892,1933
"Schwarz, Joh. Alb. Traugott, zdl",1836-1918,1278,,,Netherlands,1836,1918
"Schwarz, J.G., zdl.",1800-1859,1279,,,Germany,1800,1859
"Schweflinghaus, Elly",1907-1993,1280,,,Germany,1907,1993
"Schweitzer, H., zdl",1904-1942,1281,,,Germany,1904,1942
"Seely, Philoma R.",,1282,,,United States of America,,
"Seher, Franz Heinrich, zdl",1864-1925,1283,,,Germany,1864,1925
"Seibel, Frida, ond.",1911-,1284,,,Germany,1911,
"Seibold, K., zdl",1887-1965,1285,,,Germany,1887,1965
"Senk, Paul, zdl",1902-1971,1286,,,Germany,1902,1971
"Shover, Rev. J.C.",,1287,,,United States of America,,
"Sickinger, O.E., arts",1888-1933,1288,,,Germany,1888,1933
"Siderius, zr. Sara",1891-1971,1289,,,Netherlands,1891,1971
"Siegler, Helene, ond.",1906-2002,1290,,,Germany,1906,2002
"Siegner, J., zdl",1909-1942,1291,,,Germany,1909,1942
"Siemens, Jakob, zdl.",1876-,1292,,,Russia,1876,
"Sigel, Hugo Ferd., arts",1895-1969,1293,,,Germany,1895,1969
"Simon, Gottfried Karl, zdl",1870-1951,1294,,,Germany,1870,1951
"Simon, G., arts",1897-,1295,,,Germany,1897,
"Simoneit, August, zdl",1842-1886,1296,,,Germany,1842,1886
"Skadsheim, zie Tunheim",,1297,,,,,
"Skubinna, Fr. Wilh., zdl",1885-1965,1298,,,Germany,1885,1965
"Slagter, zr. Cornelia",1866-1943,1299,,,Netherlands,1866,1943
"Slater, John, zdl",1789-,1300,,,United Kingdom,1789,
"Slettenaar, H., arts",1899-1977,1301,,,Netherlands,1899,1977
"Sloot, Reinder, ond.",1886-1931,1302,,,Netherlands,1886,1931
"Slotemaker de Bruïne, mw. C.",1900-1987,1303,,,Netherlands,1900,1987
"Slotemaker de Bruïne, dr. M.C.",1897-1986,1304,,,Netherlands,1897,1986
"Slotemaker de Bruïne, dr. NAC",1895-1969,1305,,,Netherlands,1895,1969
"Slump, F., zdl",1896-1972,1306,,,Netherlands,1896,1972
"Smalbraak, J., arts",1908/9-1998,1307,,,Netherlands,1908/9,1998
"Smeding, Hendrik, zdl",1833-1891,1308,,,Netherlands,1833,1891
"Smit, Gezinus, zdl",1883-1958,1309,,,Netherlands,1883,1958
"Smit, zr. P., diakones",,1310,,,Netherlands,,
"Smit, Wolter Arinus zdl",1906-1976,1311,,,Netherlands,1906,1976
"Snuggs, Ed. Thom, zdl ()",1860-?,1312,,,United Kingdom,1860,?
"Soeting, zr. Hill. Pieter­nella",1907-2002,1313,,,Netherlands,1907,2002
"Solinger, D., zdl",1913-1969,1314,,,Netherlands,1913,1969
"Spangenberg, zr. J. ()",,1315,,,Germany,,
"Spellenberg, Corn., ond.",1904-...,1316,,,Germany,1904,...
"Spethmann, Charlotte",1872-1947,1317,,,Germany,1872,1947
"Spiegel, Hendrik van der, zdl",1865-1919,1318,,,Netherlands,1865,1919
"Spiecker, Wilhelm, zdl",1874-1931,1319,,,Germany,1874,1931
"Spiller, Anna Maria Ruth",1907-2000,1320,,,Switzerland,1907,2000
"Splunder, Jeremias van, zdl",1858-1886,1321,,,Netherlands,1858,1886
"Spoelstra, mw. A., ond.",-1930,1322,,,Netherlands,,1930
"Sporket, Julius, zdl",1868-1955,1323,,,Germany,1868,1955
"Spreeuwenberg, H., zdl",1907-1951,1324,,,Netherlands,1907,1951
"Sprenger, Henriette",1866-1918,1325,,,Germany,1866,1918
"Stade, W., zdl",1889-1926,1326,,,Netherlands,1889,1926
"Stahlie, T.D., arts",1914-2009,1327,,,Netherlands,1914,2009
"Stam, Pieter, zwm",1822-1889,1328,,,Netherlands,1822,1889
"Stamer, Rev. John P.",,1329,,,United States of America,,
"Stap, J.E., zdl",1883-1946,1330,,,Netherlands,1883,1946
"Starink, J., zdl",1787/8-1828,1331,,,Netherlands,1787/8,1828
"Starkey, Earl F., ond.",,1332,,,United States of America,,
"Starrenburg, D.B., zdl",1880-1946,1333,,,Netherlands,1880,1946
"Staudt, F.M., ond.",1906-1945,1334,,,Netherlands,1906,1945
"Staudt-Burmania, mw. R., ond.",1904-2002,1335,,,Netherlands,1904,2002
"Staudte, Fr. Wilhelm, zdl",1845-1884,1336,,,Germany,1845,1884
"Stauffer, Otto, zdl.",1904-1942,1337,,,Germany,1904,1942
"Steele, William Henry, zdl",1818-1905,1338,,,United States of America,1818,1905
"Steenbergen, Femmie, ond.",1916-1947,1339,,,Netherlands,1916,1947
"Steenstra, zie Stenstra",,1340,,,,,
"Stefanski, Ms. Pauline, ond.",1881-1965,1341,,,United States of America,1881,1965
"Stegerhoek, zr. J.E.",1916-,1342,,,Netherlands,1916,
"Steinbrecher, Wilhelm, zdl",1862-1919,1343,,,Germany,1862,1919
"Steingräber, Paul, zdl",1884-1973,1344,,,Germany,1884,1973
"Steinhard, Johannes, zdl",1905-1966,1345,,,Germany,1905,1966
"Steinhart, Willem Leonard, zdl",1898-1982,1346,,,Netherlands,1898,1982
"Steinmetz, zr. W.H.C.",,1347,,,Netherlands,,
"Steinsieck, Wilhelm, zdl",1855-1924,1348,,,Germany,1855,1924
"Steller, mw. Auguste S Steller, ond. ",1900-,1349,,,,1900,
"Steller, E.T. (Steller), zwm",1834-1897,1350,,,Germany,1834,1897
"Steller, mr. K.G.F., zdl",1875-1945,1351,,,Netherlands,1875,1945
"Stelwagen, Uilke, ond.",1900-1965,1352,,,Netherlands,1900,1965
"Stenstra, Willem Corn., ond.",1884-1928,1353,,,Netherlands,1884,1928
"Steur, Emile van der",1901-42/5?,1354,,,Netherlands,1901,42/5?
"Steur, Joh. Hendrica, zie Mol",,1355,,,,,
"Steur, Johannes (""Pa"") van der",1865-1945,1356,,,Netherlands,1865,1945
"Stingel, Otto, zdl",1874-1945,1357,,,Germany,1874,1945
"Stoett, Janna Lucia",1894-1951,1358,,,Netherlands,1894,1951
"Stokking, Hendrik J., zdl",1878-1928,1359,,,Netherlands,1878,1928
"Stokkum, Marinus W.Th. v, arts",1881-1958,1360,,,Netherlands,1881,1958
"Stolk, zr. C.G.",,1361,,,Netherlands,,
"Stoové, Hendrik, zdl",1840-1901+,1362,,,Netherlands,1840,1901+
"Storm, G.C., zdl",1894-1941,1363,,,Netherlands,1894,1941
"Storm, K., zdl",1864-1906,1364,,,Netherlands,1864,1906
"Strijker, Pietertje, verpl.",1901/5?-,1365,,,Netherlands,1901/5?,
"Strötker, Friedrich, zdl",1863-1930,1366,,,Germany,1863,1930
"Stryker, Isaac, zdl",-1842,1367,,,United States of America,,1842
"Stuffers, mw. C., ond.",,1369,,,Netherlands,,
"Stuivenga, J.H.",,1370,,,Netherlands/United States of America,,
"Stursberg, Gustav, zdl",1853-1916,1371,,,Germany,1853,1916
"Stuut, zr. Helena Tallina",1898-1988,1372,,,Netherlands,1898,1988
"Stuut, zr. S.",,1373,,,Netherlands,,
"Sullivan, Rev. Floyd H.",1885/6-,1374,,,United States of America,1885/6,
"Sundermann, H.H.W., zdl",1855-1947,1375,,,Germany,1855,1947
"Sundermann, Wilh. H., zdl",1849-1919,1376,,,Germany,1849,1919
"Supper, J.C., zdl",1782-1816,1377,,,Germany,1782,1816
"Sybenga, zr. Tjitske Jantina",1908,1378,,,Netherlands,1908,
"Swaan, W., zdl",,1379,,,United States of America,,
"Swanborn, Adr. Jac., ond.",1872-1945,1380,,,Netherlands,1872,1945
"Swellengrebel, dr. Jan Lod.",1909-1984,1381,,,Netherlands,1909,1984
"Szasz, Laszlo, arts",,1382,,,Hungary,,
"Talens, J.P., zdl",1878-1971,1383,,,Netherlands,1878,1971
"Tanis, J., ond.",1898-1994,1384,,,Netherlands,1898,1994
"Tauffmann, C.E.W., zwm",1834-1896,1385,,,Germany,1834,1896
"Teasdale, G.",1868-1967,1386,,,United Kingdom/Austria,1868,1967
"Teekens, Ofke",1896-1942/5,1387,,,Netherlands,1896,1942/5
"Teffer, M., zdl",1827-1907,1388,,,Netherlands,1827,1907
"Telgte, H.J. ter, verpleger",1895-1942+,1389,,,Netherlands,1895,1942+
"Temming, Auguste",1870-1930,1390,,,Germany,1870,1930
"Tendeloo, H.J., zdl",1830-1902,1391,,,Netherlands,1830,1902
"Terlinden, J.C., zdl",1803-1832,1392,,,Germany,1803,1832
"Tesche, Carl, zdl",1904-2002,1393,,,Germany,1904,2002
"Teutscher, H.J., zdl",1915-1976,1394,,,Netherlands,1915,1976
"Theis, August, zdl",1874-1968,1395,,,Germany,1874,1968
"Thiele, Alfred Charles F.",1892-1987,1396,,,Germany,1892,1987
"Thiessen, Johann",1869-1953,1397,,,Russia,1869,1953
"Thiessen, Nicolai, zdl",1874-1949,1398,,,Russia,1874,1949
"Thomas, Jost Wilhelm, zdl",1843-1900,1399,,,Germany,1843,1900
"Thomson, Frederick B., zdl",1809-1848,1400,,,United States of America,1809,1848
"Thomson, J.",,1401,,,United Kingdom,,
"Thornton, Ms. El., ond.",,1402,,,United Kingdom,,
"Tibben, zr. Hendrikje (H)",1887?-1957?,1403,,,,1887?,1957?
"Tiedeman, zr. N.",,1404,,,Netherlands,,
"Tiekstra, Gjalt Bouwes, ond.",1882-1960,1405,,,Netherlands,1882,1960
"Tiemersma, L., zdl",1861-1944,1406,,,Netherlands,1861,1944
"Tiemeyer, Friedrich, zdl",1901-1988,1407,,,Germany,1901,1988
"Tilbury, A.W.",,1408,,,United Kingdom,,
"Tilstra, Klaas",1897-1985,1409,,,Netherlands,1897,1985
"Tjhi Moi-fa, Ms.",±1905,1410,,,China,±1905,
"Tobi, Leonard, zdl",1832-1888,1411,,,Netherlands,1832,1888
"Toet, zr. J.",1909?-,1412,,,Netherlands,1909?,
"Tonsbeek, Johan W.",1884 -1915,1413,,,Netherlands,1884,1915
"Trommel, H.J., zdl",1905-1981,1415,,,Netherlands,1905,1981
"Tromp, Heinrich Philipp, zdl",1842-1922,1416,,,Germany,1842,1922
"Trostel, Gustav, zdl",1906-1942,1417,,,Germany,1906,1942
"Trowt, Thomas, zdl",1784-1816,1418,,,United Kingdom,1784,1816
"Tsang To Hang, zdl",±1905-1979,1419,,,China,±1905,1979
"Tse, Y.K., zdl",±1905-,1420,,,China,±1905,
"Tuiten, Joh., zdl",1884-1914,1421,,,Netherlands,1884,1914
"Tuiten, Martinus, zdl",1882-1957,1422,,,Netherlands,1882,1957
"Tunheim, Petra",1871-1923,1423,,,Norway/United States of America,1871,1923
"Tüttermann, Lina",1889-1939,1424,,,Germany,1889,1939
"Tuuk, H. Neubronner van der",1824-1894,1425,,,Netherlands,1824,1894
"Tuyll v Serooskerken, A.M. v.",1892-1989,1427,,,Netherlands,1892,1989
"Tweedy, zr. Elis. Arnoldine",1886-1956,1428,,,Netherlands,1886,1956
"Twijnstra, Hendrik",1892-1945,1429,,,Netherlands,1892,1945
"Ufer, Conrad, zdl",1871-1953,1430,,,Germany,1871,1953
"Uhlenbusch, H.Fr.W.",1841-1893,1431,,,Germany,1841,1893
"Uittenbogaard, H.M., ond.",1913-1978,1432,,,Netherlands,1913,1978
"Ulderink, zr. Hendr. Wilh. Joh.",1905-2005,1433,,,Netherlands,1905,2005
"Ulfers, S. (D), zdl",1818/9-1885,1434,,,Netherlands,1818/9,1885
"Underhill, Rev. Carl C.",,1435,,,United States of America,,
"Urech, Ms. Lydia, ond.",,1436,,,United States of America,,
"Vaandrig, G., ond.",,1437,,,Netherlands,,
"Vahrenkamp, Adele",1864-1929,1438,,,Germany,1864,1929
"Valderpoort, P.G.W., ond.",1892-1942/5,1439,,,Netherlands,1892,1942/5
"Valderpoort-Wierts van Coe­hoorn, mw. J.C.",,1440,,,Netherlands,,
"Valk, P.C. van der",,1441,,,Netherlands,,
"Valk, Theod. August F.. vder, zdl",1828-1874,1442,,,Netherlands,1828,1874
"Vasseur, Isaak J.W.J.",1891-1972,1443,,,Netherlands,1891,1972
"Veelen, mw. B.G. van",1908-2001,1444,,,Netherlands,1908,2001
"Veen, R., arts",1906-1972,1445,,,Netherlands,1906,1972
"Veen, Gerhardus H.A. vder, zdl",1874-1949,1446,,,Netherlands,1874,1949
"Veen, dr. H. van der",1888-1977,1447,,,Netherlands,1888,1977
"Veerenhuis, Gerrit Jan",1879-1946,1448,,,Netherlands,1879,1946
"Vegt, H.M. van der, arts",,1449,,,Netherlands,,
"Veld, Jan in 't, ond.",1883-1971,1450,,,Netherlands,1883,1971
"Velde, H. te, arts",1908-1942,1451,,,Netherlands,1908,1942
"Velden v Capellen, S.D. van der",1820/1-1856,1452,,,Netherlands,1820/1,1856
"Velders, mw. W.H.",1912-1993,1453,,,Netherlands,1912,1993
"Veldhuis, Ruurd, zdl",1893-1944,1454,,,Netherlands,1893,1944
"Veldstra, Fokke, arts",1896-1965,1455,,,Netherlands,1896,1965
"Vellekoop, Pieter Nic.",1890-1974,1456,,,Netherlands,1890,1974
"Vellenga, zr. J.A.",1897-1983,1457,,,Netherlands,1897,1983
"Verbeet, mw. G., ond.",1886-,1458,,,Netherlands,1886,
"Verdoorn, J.A., arts",1903-1991,1459,,,Netherlands,1903,1991
"Verhaag, Jacob, zdl",1803-±1880,1460,,,Netherlands,1803,±1880
"Verhagen, Dirk, arts",1890-1961,1461,,,Netherlands,1890,1961
"Verhoeff Jr., Joh. Jac., zdl",1833-1872,1462,,,Netherlands,1833,1872
"Verhoeven, J., zdl",1844-1922,1463,,,Netherlands,1844,1922
"Verkuijl Az, Arie, ond.",1885-1961,1464,,,Netherlands,1885,1961
"Verkuyl, ds. dr. J.",1908-2001,1465,,,Netherlands,1908,2001
"Verleur, zr. Magd. Maria Cath.",1900-1987,1466,,,Netherlands,1900,1987
"Vermaasen, Jan Dirk, zdl",1815/6-1844,1467,,,Netherlands,1815/6,1844
"Vermeer, Aart sr., zdl.",1828-1891,1468,,,Netherlands,1828,1891
"Vermeer, A., jr., zdl",1872-1934,1469,,,Netherlands,1872,1934
"Vermolen, Willem, ond.",1892-1972,1470,,,Netherlands,1892,1972
"Versteeg, zr. C.",,1471,,,Netherlands,,
"Verveen, Dirk, arts",1903-1977,1472,,,Netherlands,1903,1977
"Verveen, J.E., arts",1905-1958,1473,,,Netherlands,1905,1958
"Verwaal, zr. D., diakones",,1474,,,Netherlands,,
"Verwiebe, Ernst, zdl",1901-1961,1475,,,Germany,1901,1961
"Vessem, Jac. van, zdl",1901-1991,1476,,,Netherlands,1901,1991
"Vieker, Wilhelm, zdl",1891-1961,1477,,,Germany,1891,1961
"Viering, mw. Emmi",1903-1988,1478,,,Germany,1903,1988
"Vischer, M. arts",1895/6-1943,1479,,,Switzerland,1895/6,1943
"Visser, Ale, zdl",1837-1861,1480,,,Netherlands,1837,1861
"Vizjak, Georg",1871-1937,1481,,,Croatia,1871,1937
"Vlis, Chr. Jac. van der, taalk.",1813-1842,1482,,,Netherlands,1813,1842
"Vogelesang, L., arts",1879-1932,1483,,,Netherlands,1879,1932
"Volkmann, H. Wilhelm, zdl",1856-1908,1484,,,Germany,1856,1908
"Volmer, Hermann, zdl",1909-1961,1485,,,Germany,1909,1961
"Vonk, A.H., arts",1893-1978,1486,,,Netherlands,1893,1978
"Vonk, Jan Casper, zdl",1785-1838,1487,,,Netherlands,1785,1838
"Vonk, W.T., zdl",,1489,,,Netherlands,,
"Voogd, Abraham de, zdl",1864-1944,1491,,,Netherlands,1864,1944
"Voorham, B.A., zdl",1875-1908,1492,,,Netherlands,1875,1908
"Vos, Herman Cornelis Wilhelm de, arts . ~ ongehuwd gebleven?",1903-1942,1494,,,Netherlands,1903,1942
"Vriend, zr. Geesje",1901-1952+,1495,,,Netherlands,1901,1952+
"Vries, zr. A.C. de",1907-1998,1496,,,Netherlands,1907,1998
"Vries, Izaak Engelbert de, zdl",1879-1920,1497,,,Netherlands,1879,1920
"Vries, Jan de. zdl",1885-..,1498,,,Netherlands,1885,..
"Vries, Lourens de, zdl.",1869-1960,1499,,,Netherlands,1869,1960
"Vries, Sytze Jans de, zdl",1838-1899,1500,,,Netherlands,1838,1899
"Vries, S.S. de, zdl",1876-1949,1501,,,Netherlands,1876,1949
"Vroom, J. de, zdl",1841-1881,1502,,,Netherlands,1841,1881
"Vuuren, zr. A.C. van",1902-1974,1503,,,Netherlands,1902,1974
"Vuurmans, H., zdl",1895-1957,1504,,,Netherlands,1895,1957
"Waal, zr. Adr. Frederica van de",1906-1990,1505,,,,1906,1990
"Waals, Gerardus van der, zdl",1875-1945,1506,,,Netherlands,1875,1945
"Wagner, Eduard, zdl",1871-1941,1507,,,Germany,1871,1941
"Wagner, Heintz, zdl",1904-1978,1508,,,Germany,1904,1978
"Wagner, Otto, zdl",1905-1962,1509,,,Germany,1905,1962
"Wagner, Wilhelm, arts",1891-1968,1510,,,Germany,1891,1968
"Wal, Marinus van der, zdl",1835-1904,1511,,,Netherlands,1835,1904
"Walo, Ms. E. ()",,1512,,,United Kingdom,,
"Walter, Luitpold, zdl",1905-,1513,,,Switzerland,1905,
"Wang, Leland (Wang Zaj)",1898-1975,1514,,,China,1898,1975
"Wantzlick, Gustav Adolf",1867-1913,1515,,,Austria,1867,1913
"Ward, Nathaniel Moore, zdl",† ±1872,1516,,,United Kingdom,† ±1872,
"Ward, Rev. William T.",,1517,,,United States of America,,
"Warneck, Johannes, zdl",1867-1944,1518,,,Germany,1867,1944
"Weber, Friedrich, zwm",,1519,,,Germany,,
"Weber, Georg Wilhelm, zdl",1841-1871,1520,,,Germany,1841,1871
"Wedel-Jarlsberg, Th. von",1863-1930,1521,,,Germany,1863,1930
"Weeda, J.B., zdl",1885-1938+,1522,,,Netherlands,1885,1938+
"Weeda, mw. M.",,1523,,,Netherlands,,
"Weener, zr. C.L.",1899-1984,1524,,,Netherlands,1899,1984
"Weerd, Hermann de, zdl",1857-1885,1525,,,Germany,1857,1885
"Weerd, W.B. de, zdl",1905-2003,1526,,,Netherlands,1905,2003
"Weerden, Harm Jan van, zdl.",1899-1948,1527,,,Netherlands,1899,1948
"Weetneck, Auguste",1873-,1528,,,Germany,1873,
"Weg, J. van de, zdl",1887-1945,1529,,,Netherlands,1887,1945
"Weiler, zdl G.",,1530,,,Netherlands,,
"Weiss, Ernst, zwm",1831-1866,1531,,,Germany,1831,1866
"Weiss, zr. Kath. E.Th.",1890-1978,1532,,,Germany,1890,1978
"Weissenbruch, Hermann, zdl",1877-1945,1533,,,Germany,1877,1945
"Weisser, Samuel, zdl",1891-1942,1534,,,Germany,1891,1942
"Weissinger, H.",1904-1982,1535,,,Germany,1904,1982
"Wellensiek, mw. H.J., ond.",1882-1968,1536,,,Netherlands,1882,1968
"Welsz, Gerrit Joh., ond.",1882-1925,1537,,,Netherlands,1882,1925
"Werff, zr. Ienskje van der",1904,1538,,,Netherlands,1904,
"Werimon-Bakker, M.D., maatsch. werker, zie Bakker, mw. M.D.",,1539,,,,,
"Werkman, O., zdl",1887-1944,1540,,,Netherlands,1887,1944
"Werner, Lore",1898-1988,1541,,,Germany,1898,1988
"Wessel, zr. G. van",1905-1996,1542,,,Netherlands,1905,1996
"Wesseldijk, H.J., zdl",1886-1964,1543,,,Netherlands,1886,1964
"Wesseldijk, J.W., zdl",1889-1945,1544,,,Netherlands,1889,1945
"Westendorp, zr. Antje",1906-,1545,,,Netherlands,1906,
"Westerveld-van der Ben, zr. A.A.C. zie Ben, A.A.C. van der",,1546,,,,,
"Westerveld, Willem, ond.",1886-1961,1547,,,Netherlands,1886,1961
"Wetstein, J., zdl",1886-1967,1548,,,Netherlands,1886,1967
"Wiebe, Nicolai, zdl.",1862-,1549,,,Russia,1862,
"Wiegand, Heinrich, zdl",1876-1941,1550,,,Germany,1876,1941
"Wiegers, J., zdl",1891-1968,1551,,,Netherlands,1891,1968
"Wieënkötter, H. A. Florenz, zdl",1791/2-1828,1552,,,Germany,1791/2,1828
Wielenga (jr.) ds. D.K.,1880-1942,1553,,,Netherlands,1880,1942
"Wielenga, Johanna Dirkje, ond.",1907-1979,1554,,,Netherlands,1907,1979
"Wiersema, Jakob Siert, arts",1907-1981,1555,,,Netherlands,1907,1981
"Wiersma, J.N., zdl",1833-1907,1556,,,Netherlands,1833,1907
"Wieske, Hendrik, ond.",1884-1953,1557,,,Netherlands,1884,1953
"Wigand, Fr. Eberhard, zdl",1827-1859,1558,,,Germany,1827,1859
"Wiggelendam, K., zdl",1845-1909,1559,,,Netherlands,1845,1909
"Wiggers, Jan Albert, ond.",1893-1968,1560,,,Netherlands,1893,1968
"Wiggers, zr. Gesiena Ber.",1910-1959+,1561,,,Netherlands,1910,1959+
"Wijnekes, zr. Plonia Maria",1885-1976,1562,,,Netherlands,1885,1976
"Wijngaarden, J.K., zdl",1866-1894,1563,,,Netherlands,1866,1894
"Wijs, Agatha Ant. de, diakones",1892-1924,1564,,,Netherlands,1892,1924
"Wikdal, P.S.",,1565,,,Scandinavia,,
"Wilcox, Rev. Burton O.",,1566,,,United States of America,,
"Wilhelm, Jacob, zdl.",1854-1892,1567,,,Netherlands,1854,1892
"Wilken, N.P., (O-Friesl.), zdl",1813-1878,1568,,,Netherlands,1813,1878
"Wilkening, Johannes, zdl",1873-1963,1569,,,Germany,1873,1963
"Wilkens, Ms. L.V., ond.",,1570,,,United Kingdom,,
"Willfinger, John F., zdl",1910-1942,1571,,,United States of America,1910,1942
"Winckler, Joh. Chr. Furchtegott",1799-1833?,1572,,,Germany,1799,1833?
"Winkler, K.J.M. (Joh.), arts",1874-1958,1573,,,Germany,1874,1958
"Wits, zr. W.",1914-1991,1574,,,Netherlands,1914,1991
"Witt, mw. H.",1893-1978,1575,,,Netherlands,1893,1978
"Witt, Lothar, zdl",1904-1975,1576,,,Germany,1904,1975
"Wittmann-Nikolajew, Marussa,  ond.",1873-1953,1577,,,Russia,1873,1953
"Woelders, Willem H., zdl",1837-1892,1579,,,Netherlands,1837,1892
"Woensdregt, Jacob, zdl",1889-1928,1580,,,Netherlands,1889,1928
"Woerden, mw. M. van, ond.",,1581,,,Netherlands,,
"Woerner, Gustave, zdl.",1896-1978,1582,,,United States of America,1896,1978
"Wolff, zr. M.A.",1907/8-1996,1583,,,Netherlands,1907/8,1996
"Wolterbeek, Jan David",1890-1976,1584,,,Netherlands,1890,1976
"Wong A Tjhin, Ms., zdl",±1905-,1585,,,China,±1905,
"Wood, George Alb. ()",1867-1944,1586,,,Australia,1867,1944
"Woodward, Leonard H.",1883-1950,1587,,,United Kingdom,1883,1950
"Woortman, H.D., zdl",1889-1986,1588,,,Netherlands,1889,1986
"Worthington, Rev. Charles M.",1876-1856,1589,,,United States of America,1876,1856
"Wortman, Louis M.D.",1906-1945,1590,,,Netherlands,1906,1945
"Woude, Adriana van der",1894?-,1591,,,Netherlands,1894?,
"Wulp, Hendrik van der, ond.",1815-1891,1592,,,Netherlands,1815,1891
"Wunderink, Everdina Maria",1880-..,1593,,,Netherlands,1880,..
"Yates, John Spain",1888-1950,1595,,,United States of America,1888,1950
"IJdens, Hendrik, ond.",1882-1949,1596,,,Netherlands,1882,1949
"IJkel, zr. Jeanna Agatha",1903-,1597,,,Netherlands,1903,
"Young, Ms. Ethel",,1598,,,United States of America,,
"Youngberg, Gustavus Benson",1888-1944,1599,,,United States of America,1888,1944
"Youngblood, William, zdl",1808-1886,1600,,,United States of America,1808,1886
"Zanten, zr. Adriana Joh. van",1886-,1601,,,Netherlands,1886,
"Zegers, J.L., zdl",1844-1919,1602,,,Netherlands,1844,1919
"Zegers Verhoeven, Elias Adr.  )ongehuwd gebleven?",1876-1928,1603,,,Netherlands,1876,1928
"Zeitter, Karolina Auguste",1865-1938,1604,,,Germany,1865,1938
