nama orang,geb/overl.,id
"Grootendorst, zr. G., zie G. Voordouw-Grootendorst",,499
"Guillaume, Henri Alouis zdl (D)",1865-1930,500
"Gunther, P., zwm (N)",1833-1888,501
"Güse, Theodor, arts (D)",1904-1936,502
"Guther, Ferdinand, verpleger (D)",1905-1990,503
"Gützlaff, Karl Fr. A. (D)",1803-1851,504
"Haaft, Dirk Albertus ten, zdl (N)",1908-1988,505
"Haag, Pieter Bernardus, zdl (N)",1844-1925,506
"Haan, A. de, zdl (N)",1854-1921,507
"Haan, Enno, zdl (N)",1845-1898,508
"Haan, J.G. de, zdl (N)",1876-1959,509
"Haan, Fannie M. de, ond. (N)",,510
"Haandrikman, G., diakones (N)",1898-1986,511
"Haas, C. de, verpleger (N)",,512
"Haas, ds. Willem Samuel de (N)",1883-1973,513
"Haffner, Hugo, zdl. (D)",1903-1982,514
"Hager, Fr. Chr. Wilhelm, zdl (D)",1840-1900,515
"Haibach, Wilhelm, zdl (D)",1880-1953,516
"Hall, Rev. C.J. (VS)",,517
"Hamacher, Alwine, verpleegster (D)",1889-1954,518
"Hamel, Rev. J. Carel (N)",1897-1979,519
"Hamer, Gerard Pieter, ond. (N)",1882-1966?,520
"Hampp, Herrmann, zdl (D)",1882-,521
ongehuwd gebleven?,,522
"Hangelbroek, Hendr. Marg. Reb. (N)",1903-,523
"Hansen, Mina (Skand.)",,524
"Hanstein, Ludwig, zdl (D)",1853-1929,525
"Hardeland, August, zdl (D)",1814-1891,526
"Harder, Albert Gottfried, zdl (D)",1870-1945,527
"Harder, Alfriede (D)",1896-1971,528
"Harmsen, Leendert Karel, zdl (N)",1844-1919,529
"Hartgerink, Jan Willem, arts (N)",1887-1948,530
"Hartgerink, zr Elisabeth Louise Thérèse (N)",1891-,531
"Harthoorn, S.E., zdl (N)",1831-1883,532
"Hartig, F. (D)",1804-1854,533
