nama orang,geb/overl.,id,actual id,Unnamed: 4,origin
"Dannert, Theodor, zdl.",1875-1959,275,,,Germany
"Dannert, dr. W., arts",1894-1981,276,,,Germany
"Dassel, Adolf, zdl.",1866-1945,277,,,Germany
"Dedecker, O., zdl. ()",1887-1968,278,,,Belgium
"Deibler, C. Russell",1905-1943,279,,,United States of America
"Deinum, Sjoukje",-1934,280,,,Netherlands
"Dekker, Hendrik, zdl.",1861-,281,,,Netherlands
"Dekker-Drescher, mw., zie Drescher",,282,,,
"Delfos, ds. A.",1849-1923,283,,,Netherlands
"Denninger, Ernst Ludwig, zdl.",1815-1876,284,,,Germany
"Denyes, J.R.",1869-1936,285,,,United States of America
"Dietrich, Carl",1828-1876,286,,,Germany
"Dietzel, F.W. L, arts",1902-1942,287,,,Germany
"Dijk, A. van, zdl",1878-1942,288,,,Netherlands
"Dijk, D.J. van, zdl.",1898-1987,289,,,Netherlands
"Dijk, ds. K. van",1877-1945,290,,,Netherlands
"Dijk, Tjalling van, ond.",1885-1971,291,,,Netherlands
"Dijk, ds. W. van",1889-1987,292,,,Netherlands
"Dijkema, Klaas, ond.",1886-1970,293,,,Netherlands
"Dijken, H. van, zwm > zdl",1832-1900,294,,,Netherlands
"Dijkhuis, Engelbert, zdl",1900-1981,295,,,Netherlands
"Dijkhuis, Joh., zdl",1904-1942/5,296,,,Netherlands
"Dijkstra, A., zdl",1840-1893,297,,,Netherlands
"Dijkstra, Hendrika Hermina, ond.",,298,,,Netherlands
"Dimbleby, Kate",1858-1923,299,,,United Kingdom
"Dingstee, zr. Alida M. v.",1884-1973,300,,,Netherlands
"Dirks, David, zdl.",1874-1926,301,,,Russia
"Dirks, Heinrich, zdl.",1842-1915,302,,,Russia
"Dittmar, F.J.J.",,303,,,Germany
"Dittmar, Grace M., dl.",1910-1942,304,,,United States of America
"Dixon, Herman, zdl.",1908-1994,305,,,United States of America
"Dolman, C., zdl",1911-1991,306,,,Netherlands
"Dommers, A., zdl",1796/7-1841,307,,,Netherlands
"Donselaar, W.M., zdl",1820-1883,308,,,Netherlands
"Doorn, dr. C.L. van, zdl",1896-1975,309,,,Netherlands
"Doren, William Th. van, zdl.",,310,,,United States of America
"Dörmann, Friedrich, zdl.",1901-1983,311,,,Germany
"Dornsaft, Joh. Wilhelm, zdl.",1847-1915,312,,,Germany
"Dorst, Sybrig, ond.",1905-1992,313,,,Netherlands
"Doty, Elihu, zdl.",1809-1864,314,,,United States of America
"Douwes, D., zdl",-1835,315,,,Netherlands
"Doyer, Thomas, zdl.",1822-1861,316,,,Netherlands
"Dreckmeier, G.J., arts",1895-1992,318,,,Netherlands
"Drescher, zr. M. (Dekker-)",,319,,,Netherlands
"Dresselhaus, Bernhardine",1881-1925,320,,,Germany
"Drinhaus, Peter",1889-1950,321,,,Germany
"Drost, H., zdl.",1865-1940,322,,,Netherlands
"Drost, zr. H.J.",,323,,,Netherlands
"Droste, Jan Frederi(c)k, zdl.",1864-1915?,324,,,Netherlands
"Duinker, F., zdl.,",1912-1943,325,,,Netherlands
"Duker, Willem, ond.",1913-2010,326,,,Netherlands
"Dunnebier, W., zdl",1877-1955,327,,,Netherlands
"Durkstra, ds. Eduard",1909-1987,328,,,Netherlands
"Dürr, dr. Johannes, ond.",1904-1972,329,,,Switzerland
"Dutton, Emily",1860-1939,330,,,United Kingdom
"Duymaer van Twist, A.J., arts",1867 -1923,331,,,Netherlands
"Duyvendak, H.W., zdl",1893–1950,332,,,Netherlands
"Eck, R. van, zdl",1842-1901,333,,,Netherlands
"Eckert, August, zdl.",1871-1902,334,,,Germany
"Edborg, Ms. V.M. ()",,335,,,Sweden
"Eelen, H.G. van, zdl",1888-1958,336,,,Netherlands
"Eelsing, Hendrik (NL)",1896-1971,337,,,
"Eendenburg, S. van, zdl",1853-1912,338,,,Netherlands
"Eerland, L.D., arts",1897-1977,339,,,Netherlands
"Eggenberger, Agathe, ond.",1904-1991,340,,,Switzerland
"Eggink, H.J., zdl",1875 -1940,341,,,Netherlands
"Eggink, Jacoba Maria, ond.",1912-2008,342,,,Netherlands
"Eglin, zr. Anna Maria",1893-1970,343,,,Germany
"Eigen, P.K. Otto von, ond.",1888-1984,344,,,Germany
"Eigenbrod, Friedrich, zdl",1885-1936,345,,,Germany
"Eijgendaal, J., zdl",1897-1981,346,,,Netherlands
"Eijgenraam, Fr., ond.",1898-1967,347,,,Netherlands
"Eijk, ds. P.H. van",1899-1960,348,,,Netherlands
"Eijkhout, Anna S. van, ond.",1882-1923,349,,,Netherlands
"Eijkman, Koenraad Hein, arts",1898-1950,350,,,Netherlands
"Eklund, Rev. Abel",,351,,,United States of America
"Ekris, Arris van, zdl",1830-1868,352,,,Netherlands
"Ellen, zr Alida M.J.",1908-1970,353,,,Netherlands
"Ellen, G.J., zdl",1876-1957,354,,,Netherlands
"Ellinghaus, Emil, zdl.",1881-1952,355,,,Germany
"Emmerik, Adolf Th. Jac. van",1858-1924,356,,,Netherlands
"Emmerik-Cleverly, Alice Corn.",-1941,357,,,United Kingdom
"Endt, A. van der",1881-1969,358,,,Netherlands
"Endt, Johanna P. van der, ond.",1894-1920,359,,,Netherlands
"Engelberts, zr. A.E.W.Ch.",1898-1965,360,,,Netherlands
"Engelen, C.A.J. van, zdl",1873-1949,361,,,Netherlands
"Engelen, Mej .M.B. van, arts",1911-1977,362,,,Netherlands
"Engelmann, dr. W.H.",1836-1868,363,,,Netherlands
"Enklaar, dr. I.H., theoloog",1911-1994,364,,,Netherlands
"Ennis, Jacob, zdl.",,365,,,United States of America
"Enserinck, zr. Amalia Const.",1872-1928,366,,,Netherlands
"Epple, mw. A.",1909-,367,,,Germany
"Epple, Karl David, zdl.",1877-1944,368,,,Germany
"Eriks, Neeltje, diacones",1883-1945?,369,,,Netherlands
"Erkelens, J.L., ond.",1908-1984,370,,,Netherlands
"Erlecke, F.K.",,371,,,Germany
